Maxi, habló,hablar
Fortunata, aventuró,aventurar
Fortunata, decía,decir
Maxi, volvió,volver
Maxi, dijo,decir
Fortunata, encendió,encender
Maxi, estiró,estirar
Fortunata, vio,ver
Fortunata, vio,ver
Fortunata, sintió,sentir
Maxi, hecho,hecho
Maxi, volvió,volver
Fortunata, creyó,creer
Maxi, seguía,seguir
Fortunata, apoyó,apoyar
Fortunata, expresaba,expresar
Maxi, dejó,dejar
Maxi, subió,subir
Fortunata, admiró,admirar
Maxi, manifestó,manifestar
Maxi, comió,comer
Maxi, estuvo,estar
Maximiliano, oyeran,oír
Fortunata, veía,ver
Aurora, entró,entrar
Aurora, tenía,tener
Aurora, volvió,volver
Aurora, disponiendo,disponer
Aurora, vestía,vestir
Aurora, tenía,tener
Aurora, volvió,volver
Aurora, pasó,pasar
Fortunata, hecho,hecho
Aurora, echó,echar
Aurora, volvió,volver
Fortunata, da--replicó,da--replicar
Fortunata, hacían,hacer
Aurora, reían,reir
Maxi, empeoraba,empeorar
Fortunata, trazó,trazar
Fortunata, volvió,volver
Fortunata, levantaba,levantar
Fortunata, tuvo,tener
Maxi, entró,entrar
Fortunata, planchando,planchar
Fortunata, dijo,decir
Fortunata, volvió,volver
Maxi, sentó,sentar
Maxi, irritó,irritar
Fortunata, quedó,quedar
Maxi, ayudarás--prosiguió,ayudarás--prosigueír
Fortunata, tomó,tomar
Maxi, despabiló,despabilar
Maxi, avino,avenir
Fortunata, entendía,entender
Fortunata, tiraba,tirar
Maxi, miraba,mirar
Fortunata, ponía,poner
Fortunata, hacía,hacer
Fortunata, tenía,tener
Fortunata, iba,ir
Fortunata, sintió,sentir
Aurora, convenía,convenir
Fortunata, absorta,absortar
Fortunata, apartaba,apartar
Maximiliano, volvía,volver
Maxi, contestó,contestar
Maxi, dijo,decir
Maxi, observaba,observar
Maxi, tomaba,tomar
Maxi, sonreía,sonreir
Maxi, subió,subir
Fortunata, metió,meter
Maximiliano, instaba,instar
Fortunata, deseado,deseado
Maxi, hizo,hacer
Fortunata, estremeció,estremeceír
Maximiliano, meditaba,meditar
Fortunata, lanzó,lanzar
Maxi, dijo,decir
Fortunata, salió,salir
Fortunata, admirase,admirar
Fortunata, volvió,volver
Fortunata, palideció,palideceír
Maxi, continuaba,continuar
Maxi, ve,ver
Fortunata, atendía,atender
Fortunata, parecía,parecer
Jacinta, convencía,convencer
Jacinta, inclinó,inclinar
Jacinta, siguió,seguir
Jacinta, observó,observar
Jacinta, tomado,tomado
Jacinta, va,ir
Jacinta, cogió,coger
Jacinta, metió,meter
Jacinta, salía,salir
Jacinta, despedirse,despedir él
Jacinta, dicho,dicho
Fortunata, entraba,entrar
Fortunata, levantó,levantar
Maximiliano, permanecía,permanecer
Fortunata, anduvo,andar
Aurora, faltaba,faltar
Fortunata, esperaba,esperar
Aurora, desenvolverse,desenvolver él
Fortunata, deseaba,desear
Aurora, puso,poner
Fortunata, ayudaba,ayudar
Aurora, arrancaba,arrancar
Aurora, suspendió,suspender
Aurora, ?--apuntó,?
Aurora, ?--apuntó,--apuntó
Aurora, dejó,dejar
